	103_N_STOOL	103_O_STOOL	103_P_STOOL	103_Q_STOOL	104_A_STOOL	104_D_STOOL	104_O_STOOL	105_N_STOOL	105_O_STOOL	105_P_STOOL	105_Q_STOOL	107_I_STOOL	107_J_STOOL	107_K_STOOL	107_M_STOOL	107_N_STOOL	107_O_STOOL	109_G_STOOL	109_H_STOOL	109_I_STOOL	109_J_STOOL	109_K_STOOL	109_L_STOOL	109_N_STOOL	109_O_STOOL	109_P_STOOL	110_H_STOOL	110_I_STOOL	110_J_STOOL	110_K_STOOL	110_L_STOOL	110_M_STOOL	110_N_STOOL	110_O_STOOL	111_G_STOOL	111_H_STOOL	111_I_STOOL	111_J_STOOL	111_K_STOOL	112_F_STOOL	112_G_STOOL	112_H_STOOL	112_I_STOOL	112_J_STOOL	112_L_STOOL	112_M_STOOL	112_P_STOOL	112_Q_STOOL	112_Z_STOOL	113_E_STOOL	113_F_STOOL	113_G_STOOL	113_H_STOOL	113_I_STOOL	113_J_STOOL	113_K_STOOL	113_M_STOOL	113_N_STOOL	113_O_STOOL	113_P_STOOL	113_Q_STOOL	114_G_STOOL	114_I_STOOL	114_L_STOOL	114_M_STOOL	115_A_STOOL	115_B_STOOL	115_C_STOOL	115_D_STOOL	115_F_STOOL	115_G_STOOL	115_H_STOOL	115_J_STOOL	115_K_STOOL	115_L_STOOL	115_M_STOOL	115_N_STOOL	115_O_STOOL	115_P_STOOL	115_Q_STOOL	116_A_STOOL	116_B_STOOL	116_C_STOOL	116_D_STOOL	116_E_STOOL	116_F_STOOL	116_G_STOOL	116_H_STOOL	116_I_STOOL	116_J_STOOL	116_K_STOOL	116_L_STOOL	116_M_STOOL	116_O_STOOL	116_P_STOOL	117_A_STOOL	117_C_STOOL	117_E_STOOL	117_F_STOOL	117_G_STOOL	117_H_STOOL	117_I_STOOL	117_K_STOOL	117_L_STOOL	117_M_STOOL	117_V_STOOL	118_A_STOOL	118_B_STOOL	118_D_STOOL	118_E_STOOL	118_F_STOOL	118_G_STOOL	118_H_STOOL	118_L_STOOL	118_N_STOOL	119_A_STOOL	119_D_STOOL	119_E_STOOL	119_F_STOOL	119_G_STOOL	119_H_STOOL	119_I_STOOL	119_L_STOOL	119_N_STOOL	119_P_STOOL	120_A_STOOL	120_B_STOOL	120_C_STOOL	120_D_STOOL	120_F_STOOL	120_G_STOOL	120_H_STOOL	120_I_STOOL	120_K_STOOL	121_A_STOOL	121_C_STOOL	121_D_STOOL	121_E_STOOL	121_F_STOOL	121_G_STOOL	121_I_STOOL	121_L_STOOL	121_M_STOOL	121_O_STOOL	122_A_STOOL	122_B_STOOL	122_C_STOOL	122_E_STOOL	122_F_STOOL	122_G_STOOL	122_H_STOOL	122_I_STOOL	123_C_STOOL	123_E_STOOL	123_F_STOOL	123_G_STOOL	124_A_STOOL	124_B_STOOL	124_C_STOOL	124_D_STOOL	124_E_STOOL	124_G_STOOL	124_H_STOOL	124_J_STOOL	124_M_STOOL	124_N_STOOL	124_O_STOOL	125_A_STOOL	125_D_STOOL	125_E_STOOL	125_F_STOOL	125_G_STOOL	125_I_STOOL	125_J_STOOL	125_M_STOOL	126_A_STOOL	126_B_STOOL	126_C_STOOL	126_D_STOOL	126_E_STOOL	126_F_STOOL	126_G_STOOL	126_H_STOOL_2	126_H_STOOL	126_I_STOOL	126_J_STOOL	126_K_STOOL	126_M_STOOL	126_O_STOOL	126_P_STOOL	127_A_STOOL	127_B_STOOL	127_C_STOOL	127_E_STOOL	127_F_STOOL	127_G_STOOL	127_H_STOOL	127_I_STOOL	127_J_STOOL	127_K_STOOL	127_L_STOOL	127_M_STOOL	127_N_STOOL	127_O_STOOL	128_A_STOOL	128_C_STOOL	128_D_STOOL	128_E_STOOL	128_F_STOOL	129_A_STOOL	129_B_STOOL	129_C_STOOL	129_E_STOOL	129_F_STOOL	129_G_STOOL	129_H_STOOL	129_I_STOOL	129_M_STOOL	130_A_STOOL	130_B_STOOL	130_C_STOOL	130_D_STOOL	130_E_STOOL	130_F_STOOL	130_G_STOOL	130_H_STOOL	130_J_STOOL	130_K_STOOL	130_M_STOOL	130_N_STOOL	130_P_STOOL	130_Q_STOOL	131_A_STOOL	131_B_STOOL	131_D_STOOL	131_E_STOOL	131_F_STOOL	131_G_STOOL	131_I_STOOL	131_J_STOOL	131_K_STOOL	131_L_STOOL	131_M_STOOL	131_N_STOOL	132_B_STOOL	132_C_STOOL	132_D_STOOL	132_E_STOOL	132_G_STOOL	132_H_STOOL	132_K_STOOL	132_L_STOOL	133_A_STOOL	133_C_STOOL	133_D_STOOL	133_E_STOOL	133_H_STOOL	133_I_STOOL	133_J_STOOL	134_A_STOOL	134_D_STOOL	134_E_STOOL	134_H_STOOL	135_A_STOOL	135_B_STOOL	135_C_STOOL	135_E_STOOL	135_F_STOOL	136_A_STOOL	136_D_STOOL	136_E_STOOL	138_B_STOOL	138_F_STOOL	139_C_STOOL	139_D_STOOL	139_E_STOOL	140_A_STOOL	140_D_STOOL	141_A_STOOL	141_B_STOOL	141_C_STOOL	141_D_STOOL	141_E_STOOL	142_A_STOOL	142_B_STOOL	142_C_STOOL	143_A_STOOL	143_B_STOOL	144_B_STOOL
ASV_1	47	234	28084	306	0	0	1902	37	0	760	251	67	0	5472	0	30	584	52570	1137	1410	3755	9100	2399	20646	3437	10167	14002	14222	0	543	691	4698	415	24374	13717	10553	7552	4849	2540	0	39403	3377	1970	6602	1596	2570	5733	7194	10828	35305	8251	6967	4176	4590	12661	2206	15567	1119	73994	1566	1204	0	22488	61	279	0	4565	2449	49684	12722	8695	12178	10555	35991	2025	1154	227	47	54	28245	452	14970	16121	2613	2759	14591	6643	8270	1852	1874	572	84	75	525	6590	0	3556	62874	2906	0	570	0	706	0	0	10871	20803	6915	3864	10362	414	3066	17	2583	5895	5989	10996	7181	11024	0	2016	12617	3056	5703	1252	9500	73016	13823	0	11502	50755	1542	18083	0	5500	19111	16920	8568	0	0	3979	172	3109	846	0	36767	5066	1537	556	861	2140	0	71082	24651	10423	1068	102578	2368	1698	163	61	33	67	0	101	219	3070	0	96976	4067	3303	643	1447	1863	7460	6306	11932	10237	36855	3034	983	0	127	127	103	60	1377	1399	1189	1397	63176	8347	26202	6437	6903	2998	415	65	0	1293	333	1099	287	0	130	728	17102	162	0	30141	1040	7965	342	5285	63	1917	251	3574	54731	8966	4124	323	219	540	184	23772	1263	2265	7377	3636	1669	274	0	811	1247	229	0	13973	23036	3028	35471	0	35701	5626	4304	0	180	167	148	158	0	92	0	0	897	606	1669	0	63402	8080	0	2471	642	7006	2862	11996	44	511	26216	4634	19225	133664	152	7959	14159	7103	0	121	0	0	2064	3316	0	57784	8565	5485	0	0	0
ASV_2	339	677	3764	241	0	0	1750	0	0	0	0	2420	9045	5807	0	4061	3062	105	1319	803	815	1162	1880	5191	6746	26563	8009	5255	265	1064	1124	946	963	344	720	74	0	40381	36311	6685	2613	5122	3450	1364	1062	4563	8389	211	21347	0	2888	283	350	107	162	203	45	0	193	108	0	403	84	426	324	0	0	1939	3878	0	153	73	59	0	17	85	0	468	15	94	1015	30900	63181	8505	9848	3173	4849	2848	2030	797	2592	885	632	573	2204	310	0	70	2176	6945	3222	19	0	0	0	52	31154	36335	55175	41274	12929	28587	0	0	126	25814	86954	105709	20785	45	0	23	38	209	1466	7553	662	0	0	0	3291	37	120	142	5146	15936	8741	3131	0	55	1479	112	240	25	0	4169	3775	4342	10601	29748	3024	54	0	1313	1717	2695	0	0	39666	2793	8508	1468	215	173	424	3012	251	0	0	0	1663	8699	346	1465	5781	18433	55869	52461	68772	9607	8317	0	0	0	0	0	31	2406	6399	1246	61	103	0	172	1960	10666	646	724	0	733	8564	297	15335	57082	0	6425	0	516	196	135	1509	5262	402	301	273	1055	37434	6700	31911	6481	2656	2951	2308	519	431	759	106	2027	921	74	7238	669	0	63017	92069	2500	464	11355	2073	2794	5667	26	851	188	2637	0	113	1779	3575	2819	334	252	0	68	1622	684	12748	28901	3922	840	37778	485	31363	11729	17787	20605	9548	285	14	116394	80992	8980	841	460	1290	94	10617	1676	87	73	0	377	395	1181	1801	6932	7639	7004	0
ASV_3	6497	4768	9758	447	0	0	25256	0	0	0	0	1480	1062	0	0	5865	1905	0	843	1255	250	947	612	4418	278	0	14960	1225	0	13940	10693	5291	3096	20039	0	22	31	14010	4032	25	2159	2234	3430	13569	10586	8618	0	21	540	1393	12161	906	7226	13061	2109	587	5973	2751	2324	563	96	22848	457	1912	2214	0	0	0	32	14737	11142	391	112	829	284	298	175	252	0	3647	13024	33	0	0	0	7609	16575	12478	4549	2231	902	317	159	32	5187	10470	4778	1940	536	2386	937	316	34	101	121	3235	0	11612	4612	2961	3840	747	0	340	787	582	0	0	62	0	0	0	907	2231	10715	488	0	0	0	33863	1275	583	689	73	55	0	0	382	0	1000	1461	29	202	111	59	35	0	4110	2511	3714	2001	14456	0	4559	628	54	0	0	0	14	1787	5611	457	317	783	1816	7133	0	0	0	0	15950	601	0	1072	63	0	0	0	0	0	0	0	0	0	126	20229	9184	14976	8954	2857	7173	518	157	651	3944	2051	509	439	456	13232	8275	11977	10659	18	0	0	213	238	0	2637	19132	933	100	114	373	3688	2870	16	0	446	314	166	1159	100	21324	7653	6124	2021	2898	9946	8773	0	26	0	0	0	10937	5386	32916	0	0	32899	5433	0	0	0	0	0	0	676	0	19	0	1922	100	42344	0	1614	0	75	115	372	30	561	654	19582	776	27	45	45177	91	977	18181	3448	1616	36	2856	0	18875	30359	5217	0	0	12	8844	0	0	0
ASV_4	0	0	0	0	0	0	0	15	0	0	0	0	6547	12	0	0	0	32	0	0	48	0	40047	28522	0	29519	0	0	0	0	0	0	0	0	0	330	0	7543	2830	0	0	25	0	16741	0	0	0	0	0	126	0	0	0	0	19	0	0	0	9	0	0	0	0	0	499	0	0	0	0	57316	45000	0	0	0	0	0	399	0	0	0	0	0	0	4493	0	0	0	158	330	20903	7	1149	0	0	15	0	0	0	60992	8	0	33	0	0	0	480	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	79	1501	12256	11202	0	0	0	0	0	0	36	4864	2087	0	56778	3149	51126	5	0	9597	1098	2003	0	7044	25674	0	21029	3263	5449	862	0	0	0	0	0	0	0	6	0	0	1517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	1089	0	30	0	0	0	0	0	0	15	14	0	0	23894	0	1060	0	0	0	0	0	0	0	0	3513	0	0	37151	5667	4782	0	7401	38	5385	33551	0	7159	35410	4889	0	1242	197	3508	4639	0	11	0	0	43	45984	0	0	0	0	0	0	34	5	0	0	0	28	56943	0	154	180	0	0	0	0	28	1554	14216	0	0	728	6613	5701	11337	0	11920	6263	13902	26	0	286	0	36	0	77923	0	0	15563	0	0	0
ASV_5	20042	2143	2051	13870	0	640	321	25481	7358	9734	8579	380	2511	0	2005	849	1871	881	4653	1391	6478	1262	1770	1217	15342	657	1224	2937	0	10612	4989	3923	879	853	3516	9830	3529	2978	867	36319	20022	2956	8329	3081	10943	38818	43748	7473	58277	917	7167	1663	6393	3565	1485	4019	4977	405	387	309	112	785	5318	1896	1066	0	0	8159	6840	881	2696	1792	2578	441	101	459	21	0	21	4093	8243	0	27	0	107	1045	798	1689	3350	111	267	374	627	33	2829	0	3206	587	460	21	8190	5887	394	1953	948	185	1512	1102	2481	915	162	1006	19	92	3682	210	201	22	3372	0	78	14076	1141	770	1164	3433	1234	0	5456	702	920	561	168	0	39	523	320	2604	1872	1048	4008	19	189	27	3362	1789	101	272	1149	323	257	1274	65	461	118	6	0	2894	102	170	695	602	101	883	1694	266	1454	20	234	114	1293	3675	1527	490	1846	249	3381	5426	2854	15916	8623	4791	1277	1277	606	2739	8331	10781	3704	3967	15547	581	1809	617	1142	564	110	17	148	329	545	607	1136	278	16	4741	2195	71	238	13016	350	5255	122	1212	350	514	4318	4674	9810	817	406	26	32	730	29	1017	223	183	120	0	111	331	0	0	35	554	4775	4642	8521	1182	39	0	3536	2136	23205	361	904	74	4631	2526	215	609	299	167	373	103	336	126	204	0	5594	596	1225	0	10233	261	1153	117	0	564	3118	256	1648	494	171	397	0	745	35	137697	698	5710	4303	0	650	149	0	0	840
ASV_6	18	888	155	0	9734	70	372	0	55	0	0	175	1059	45	1358	168	258	17657	2999	1010	2392	2414	5695	600	29	95	9823	3034	5961	0	1337	6709	1715	9356	459	550	230	231	32	126	51	438	40	292	443	143	47	739	147	1737	5073	1520	960	1736	5753	1584	4071	233	94	435	815	99	3261	228	1968	10116	27318	7754	1754	4547	802	5733	566	557	142	813	69	275	37	8529	48	13794	6624	27112	3806	4977	2597	3003	810	103	2088	913	14	9	2970	647	2598	97	2134	0	556	2538	110	221	216	284	0	907	9476	15	74	0	0	0	0	0	0	0	1984	0	6	0	0	0	301	14	0	0	0	17	120	0	0	0	9479	15685	392	9697	676	0	4905	2659	1682	783	0	2274	492	3976	896	2507	439	675	1069	21435	91	104	4475	21686	25140	0	168	95	52	273	4555	783	965	520	31235	565	10668	2851	78	151	0	2187	1396	0	0	0	0	0	50	50	0	0	0	68	52	21	667	357	54	226	6	9	44	0	12	54	27	244	369	550	37	1911	5865	420	339	6720	63	206	400	0	69	81	53	0	335	27409	8019	3589	349	707	634	4162	350	420	2443	147	116	376	211	0	153	739	397	1250	118	217	35565	8939	335	15	88	86	0	0	0	252	5	0	0	698	9123	9440	5542	41	611	63	32	2807	0	0	0	2987	0	0	41377	8946	6524	382	65	31	72	1100	311	408	5466	1113	140	428	282	6645	8748	646	9749	2451	36
ASV_7	0	2784	5128	1314	0	53	195	0	343	947	1719	276	2916	0	989	330	4476	11180	5642	1596	24194	26297	20030	13449	1020	226	167	147	0	3398	17181	0	0	6365	3356	2148	1518	602	291	614	9596	3989	516	179	918	4534	5132	1448	2922	1330	386	0	0	7833	487	1138	740	0	0	893	0	627	122	0	1921	0	0	15986	3129	55	634	3048	82	247	16	24	0	0	0	167	0	0	631	4387	35733	2540	6283	6004	41	247	142	0	112	186	0	317	397	528	0	822	0	572	47	249	0	414	0	1507	0	31682	7515	0	0	4379	213	0	157	139	3874	0	0	130	468	272	6892	0	0	0	0	396	0	0	200	0	44	968	3093	23752	22985	20161	353	765	1893	27	0	1826	0	0	33	294	0	0	2755	329	741	0	804	54	4132	0	178	1901	367	0	4619	107	13873	0	18331	30645	6793	42	615	0	395	12845	0	0	2339	110	2396	1038	45	45	116	16	22	3747	298	6809	0	129	0	200	0	0	46	17	70	0	113	2948	21	0	0	29	0	0	372	0	0	0	0	21	496	55	0	2168	0	5629	227	0	821	595	104	4567	9	4781	3736	1660	3392	8585	0	0	15	0	102	0	1016	0	865	40	0	3117	0	144	14	447	7556	0	0	455	32	3264	1510	6392	1762	0	16108	0	0	20023	343	0	96	390	422	1798	0	0	64	0	363	0	623	0	0	0	3015	0	144	0	0	1708	0	7381	0	0	0
ASV_8	307	111	325	69	0	0	40	0	0	0	0	4554	4788	0	0	2387	3350	0	14963	6342	6349	12734	6104	22628	4978	0	0	0	0	0	0	0	679	6088	0	0	0	4174	8515	0	0	14862	8330	19226	25683	3017	9204	1109	29359	0	0	0	0	0	0	26297	7346	4777	4102	2596	0	0	1137	2470	1439	0	0	24974	0	0	2138	296	162	1155	306	184	170	214	337	1846	0	0	0	0	0	14731	13314	8017	920	105	583	179	185	0	0	0	0	1384	0	0	12174	358	0	0	0	3957	0	0	0	0	0	365	0	0	0	0	37	0	0	0	0	0	0	0	50	0	0	0	0	0	146	260	56	0	0	0	33	0	5631	23790	9831	1186	207	183	70	52	15681	2123	753	4854	990	0	0	129	74	98	0	0	174	0	0	3311	173	276	5401	6585	7780	0	0	0	0	1552	0	0	12788	0	0	0	0	0	0	0	0	0	0	0	0	0	801	867	0	421	438	233	1009	5686	529	143	542	0	0	1268	0	12011	0	10	0	10	345	0	0	0	75	0	690	305	0	21273	0	12	0	0	0	1606	34	5402	1436	4164	1489	467	1577	2235	4	0	0	0	0	0	3742	20970	8	0	0	13603	213	0	961	0	50	0	2292	0	0	0	0	0	11820	295	525	0	0	57	519	0	0	0	38955	1516	0	0	0	41	12485	0	0	1383	19	0	0	29	0	6091	0	0	0	2713	0	0	0
ASV_9	41	840	769	478	0	0	63	0	0	0	0	735	6431	78	0	2059	2388	0	2088	102	93	967	3377	7122	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36086	33943	0	7361	0	43741	440	27655	0	279	58	558	766	33	217	176	0	1207	206	0	499	45	5152	2081	0	0	0	0	0	281	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2039	539	603	386	0	0	0	0	398	0	0	4570	0	0	0	0	175	37430	15445	0	0	0	0	0	0	0	36267	5540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	14154	22979	25542	3951	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	9803	416	4089	0	0	0	7591	0	4696	148	281	727	20551	4035	0	0	0	0	0	0	1141	5889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	33	0	0	0	17	0	1761	678	0	0	3560	1740	1624	401	654	9154	0	0	0	0	0	0	907	3593	193	264	6115	5587	251	18763	2509	0	0	0	0	0	40	5567	18234	22	0	0	0	1741	0	0	0	2763	787	287	276	0	93	28829	2749	0	0	121	1570	0	217	0	0	0	680	8709	420	0	0	0	73361	670	0	8267	169	29	0	0	34	0	3534	1594	0	18	265	0	0	0
ASV_10	0	51	45	19	182	345	795	0	2132	140	68	198	2106	151	11505	271	151	2543	3318	262	3079	3358	2268	1789	755	132	982	796	13276	908	2321	1395	1014	684	167	365	118	3937	4842	19330	3300	15758	7188	9625	11812	3844	6719	1038	5334	0	0	98	519	585	411	202	126	494	142	0	0	1476	1068	1926	3596	4519	4096	2805	239	60	433	3056	44	217	232	52	0	29	19	122	2207	19664	372	0	183	3289	6644	1641	1708	9713	9714	204	240	1002	1227	648	1580	0	0	15716	533	0	0	17	0	1757	6152	1803	253	2283	159	718	207	411	317	9099	561	880	252	242	322	0	13	311	610	0	0	2122	334	1872	2217	0	412	24	313	292	805	1096	0	0	3508	2290	337	808	374	3162	0	15253	485	2606	2497	8330	319	49	884	558	0	726	0	9366	337	142	290	581	7716	1243	351	122	140	0	2615	2375	444	211	1189	2348	340	53	307	119	2199	103	105	105	64	857	2603	296	308	8882	598	0	0	90	0	63	61	0	178	376	12043	601	0	19104	3640	0	0	0	413	1155	1312	1136	141	2997	2566	105	326	64	11284	3410	933	887	49	69	101	1385	2069	10500	25132	5241	1569	1097	10245	77	0	211	92	2393	420	1196	51	0	77	569	1658	0	0	0	3344	2809	1310	3847	190	139	318	4378	14826	1268	824	3947	0	70	263	109	62	0	1049	388	300	10085	1132	0	2990	203	4260	205	993	189	23965	2407	3261	1272	341	257	818	263	1080	1013	2268
